group_entry_name,sku,stock,allocated,price_per_unit,cost_price,incoming,cover_14,cover_30,cover_90,sell_through,units_sold,units_sold_in_kits,total_units_sold,profit,profit_margin_percent,gross_sales
Microban Portable filters 4 Pack,KA-10010,993,6,40.4783695652173913,7.0,3780,0,0,0,over 1 year,142,33.0,175.0,4231.05,81.2944155844155844,5225.05
Mp3 Amp 2015 - Silver (volume control),KK-10436,35,4,0.0,45.44,0,0,0,0,9 months,8,0.0,8.0,-363.52,0.0,0.0
MP3 Housing - 2012/14,KM-10001,7,0,25.0,16.0,0,0,0,0,over 1 year,1,0.0,1.0,9.0,36.0,25.0
Mp3 LED Pop-up Speaker - spa,KK-10043,119,6,55.4025,30.56,0,0,0,0,over 2 years,8,0.0,8.0,110.87,45.87,355.35
Mp3 On/Off Volume Controller,KK-10437,26,0,16.665,13.63,0,0,0,0,over 1 year,3,0.0,3.0,-7.56,59.11,33.33
MP3 Player Audio Kit,KK-10693,187,0,0.0,100.0,0,0,0,0,about 23 years,2,0.0,2.0,-200.0,0.0,0.0
MP3 POWER SUPPLY,KK-10005,15,2,0.0,15.0,0,0,0,0,5 months,6,0.0,6.0,-90.0,0.0,0.0
Muskoka V2 Foam Spa Charcoal,KP-10011,5,1,846.0,600.0,0,2.0,12.0,46.0,14 days,4,0.0,4.0,984.0,29.08,3384.0
Muskoka V2 Foam Spa Coffee,KP-10012,-2,0,1247.22,600.0,0,17.0,36.0,104.0,2 days,3,0.0,3.0,1941.66,51.8933333333333333,3741.66
NBP6013H Circuit Board,KK-10536,14,0,0.0,138.39,0,0,0,0,7 months,4,0.0,4.0,0.0,0.0,0.0
Neck Blaster Pillow 2001/07 - Black/Grey,KK-10677,7,0,27.08,14.0,0,0,0,0,5 months,3,0.0,3.0,45.48,45.39,87.48
NIAGARA 60 JET 7 PERSON SPA,KH-10024,1,0,6150.0,5000.0,0,0,1.0,5.0,15 days,2,0.0,2.0,2300.0,18.65,12300.0
O3 Ozone generator,KK-10141,4,2,57.9027272727272727,31.47,36,0,0,0,16 days,15,0.0,15.0,164.88,68.975,636.93
[OBSOLETE] Pillow Big Arc 2007 to 09 - Grey,KK-10447,18,3,16.665,15.0,0,0,0,0,about 2 years,2,1.0,3.0,3.33,55.0,33.33
[OBSOLETE] Pillow Can Lounger Pillow 2007/09 - Grey,KK-10448,6,0,29.16,14.0,0,0,0,0,over 1 year,1,1.0,2.0,15.16,51.99,29.16
[OBSOLETE] Pillow Mid Arc 2010 - Grey,KK-10446,1,0,36.94,14.0,0,0.0,2.0,8.0,about 1 month,3,0.0,3.0,68.83,62.11,110.83
[OBSOLETE] Pillow Neck Massage  - Grey,KK-10445,20,0,29.16,14.0,0,0,0,0,almost 5 years,1,1.0,2.0,15.16,51.99,29.16
ONCE YEARLY - GOLD FULL MAINTENANCE SERVICE - spa,KL-10010,987,0,260.665,1.0,0,0.0,0.0,0.0,-,12,0.0,12.0,3161.31,99.6566666666666667,3173.31
Ontario 35 JET 5 PERSON SPA,KH-10028,2,3,2800.0,2400.0,0,0,0.0,4.0,about 1 month,2,0.0,2.0,800.0,14.29,5600.0
Ozone Mixing Chamber,KK-10375,47,0,44.36,13.59,0,0,0,0,over 11 years,1,0.0,1.0,30.77,69.36,44.36
Ozone Non Return Valve,KK-10373,20,0,8.58,3.18,30,0,0,0,10 months,5,0.0,5.0,26.74,62.8925,42.64
Panel Fixing Strip (Spa Cabinet) - Charcoal,KK-10237,16,0,15.0,7.0,0,0,0,0,12 months,4,0.0,4.0,32.0,53.33,60.0
Panel MRSPA E2 Mothership Part no. CS52864C,KK-10343,1,1,182.75,75.0,0,0.0,2.0,8.0,about 1 month,1,0.0,1.0,107.75,-23.12,182.75
PCB for Portable Control Unit V1 (display PCB),KK-10128,48,0,72.915,37.5,0,0,0,0,almost 3 years,2,0.0,2.0,70.83,40.34,145.83
pH Down ( 1KG ),KA-10050,1133,0,9.2505555555555556,3.0,0,0,0,0,over 13 years,20,1.0,21.0,123.19,67.9594117647058824,183.19
Pheonix Lounge Pillow - Black/grey,KK-10716,-2,0,33.33,14.0,0,2.0,2.0,2.0,3 months,2,0.0,2.0,38.65,57.99,66.65
Pheonix slotted Banana Pillow - Black/grey,KK-10717,3,0,33.33,15.0,0,0,0,0,5 months,2,0.0,2.0,36.65,54.99,66.65
pH Up ( 750g ),KA-10051,1057,3,8.5169444444444444,3.0,0,0,0,0,about 5 years,51,0.0,51.0,283.73,65.1565714285714286,436.73
Pillow Big Arc 2001to07 - Black,KK-10673,1,0,29.16,15.0,0,0,0,0,3 months,1,0.0,1.0,14.16,48.55,29.16
Pillow - Black Ice,KK-10735,5,0,0.0,25.0,0,0,0,0,5 months,3,0.0,3.0,-75.0,0.0,0.0
Pillow BREAD 2013 - Black,KK-10146,734,1,20.2193478260869565,4.53,0,0,0,0,12 months,153,3.0,156.0,2195.77,27.9068571428571429,2888.86
Pillow Bread with LOGO 2016 - Black,KK-10145,53,4,25.6377142857142857,8.49,290,0,0,0,about 1 month,107,0.0,107.0,1673.66,74.6427272727272727,2859.38
Pillow Clips,KK-10423,149,1,124.994,0.55,100,0,0,0,over 3 years,10,0.0,10.0,619.02,99.5525,624.97
Pillow EVA Cup Holder 2013 - Black,KK-10441,11,0,20.7933333333333333,14.0,0,0,0,0,11 months,3,3.0,6.0,20.38,54.92,62.38
Pillow Eva U-Shape 2013 - Black,KK-10444,67,0,0.0,14.0,0,0,0,0,over 16 years,1,0.0,1.0,-14.0,0.0,0.0
Pillows Mid Arc - Black,KK-10673,4,0,29.16,10.49,6,0,0,0,4 months,3,6.0,9.0,56.01,64.03,87.48
Pipe Connector for V2 Portables,KK-10753,92,14,0.76869565217391304348,3.0,0,0,0,0,5 months,52,228.0,280.0,-109.29,65.75,46.71
PLANTER - ROUND SPA SURROUND FURNITURE,KF-10004,10,4,135.62,99.99,0,0,0,2.0,5 months,6,62.0,68.0,213.77,21.7466666666666667,813.71
Plumbing 1in Ball Valve,KK-10600,12,0,0.0,4.0,0,0,0,0,over 1 year,1,0.0,1.0,-4.0,0.0,0.0
plumbing 2in Heater Split Nut (union),KK-10353,29,0,9.9925,3.99,30,0,0,0,9 months,10,2.0,12.0,59.36,59.355,99.26
plumbing 2in Heater Tail Piece,KK-10352,1,0,8.56,3.99,50,0,0,0,about 1 month,3,0.0,3.0,13.93,53.34,25.9
Plumbing: Fitting 3/4in SB Coupling,KK-10270,355,0,2.94,1.51,250,0,0,0,over 3 years,22,0.0,22.0,20.61,31.9,64.61
Plumbing: Fitting Reducer Soc x Spig,KK-10599,67,0,4.16,0.45,0,0,0,0,over 16 years,1,0.0,1.0,3.71,89.18,4.16
